"WRITE";"9888.0";"";"3021582924";"20.983215 s"
"WRITE";"9888.0";"";"3021870905";"20.985215 s"
"WRITE";"9888.0";"";"3022158887";"20.987214 s"
"WRITE";"9888.0";"";"3022446868";"20.989214 s"
"WRITE";"9888.0";"";"3022734850";"20.991214 s"
"WRITE";"9888.0";"";"3023022831";"20.993214 s"
"WRITE";"9888.0";"";"3023310812";"20.995214 s"
"WRITE";"9888.0";"";"3023598794";"20.997214 s"
"WRITE";"9888.0";"";"3023886775";"20.999214 s"
"WRITE";"9888.0";"";"3024174757";"21.001214 s"
"WRITE";"9888.0";"";"3024462738";"21.003213 s"
"WRITE";"9888.0";"";"3024750720";"21.005213 s"
"WRITE";"9888.0";"";"3025038701";"21.007213 s"
"WRITE";"9888.0";"";"3025329290";"21.009231 s"
"WRITE";"9888.0";"";"3025614664";"21.011213 s"
"WRITE";"9888.0";"";"3025902645";"21.013213 s"
"WRITE";"9888.0";"";"3026190627";"21.015213 s"
"WRITE";"9888.0";"";"3026478608";"21.017213 s"
"WRITE";"9888.0";"";"3026766589";"21.019212 s"
"WRITE";"9888.0";"";"3027054571";"21.021212 s"
"WRITE";"9888.0";"";"3027342552";"21.023212 s"
"WRITE";"9888.0";"";"3027630534";"21.025212 s"
"WRITE";"9888.0";"";"3027918515";"21.027212 s"
"WRITE";"9888.0";"";"3028206497";"21.029212 s"
"WRITE";"9888.0";"";"3028494478";"21.031212 s"
"WRITE";"9888.0";"";"3028782459";"21.033212 s"
"WRITE";"9888.0";"";"3029070441";"21.035211 s"
"WRITE";"9888.0";"";"3029358422";"21.037211 s"
"WRITE";"9888.0";"";"3029646404";"21.039211 s"
"WRITE";"9888.0";"";"3029934385";"21.041211 s"
"WRITE";"9888.0";"";"3030222367";"21.043211 s"
"WRITE";"9888.0";"";"3030510348";"21.045211 s"
"WRITE";"9888.0";"";"3030798329";"21.047211 s"
"WRITE";"9888.0";"";"3031086311";"21.049210 s"
"WRITE";"9888.0";"";"3031374292";"21.051210 s"
"WRITE";"9888.0";"";"3031662274";"21.053210 s"
