WRITE,-10.0,,99709513,692.427174 
WRITE,-10.0,,99997495,694.427049 
WRITE,-9.0,,100285476,696.426917 
WRITE,-9.0,,100573458,698.426792 
WRITE,-9.0,,100861439,700.426660 
WRITE,-8.0,,101149420,702.426528 
WRITE,-8.0,,101437402,704.426403 
WRITE,-8.0,,101725383,706.426271 
WRITE,-8.0,,102013365,708.426146 
WRITE,-7.0,,102301346,710.426014 
WRITE,-7.0,,102589328,712.425889 
WRITE,-7.0,,102877309,714.425757 
WRITE,-6.0,,103165290,716.425625 
WRITE,-6.0,,103453272,718.425500 
WRITE,-6.0,,103741253,720.425368 
WRITE,-5.0,,104029235,722.425243 
WRITE,-5.0,,104317216,724.425111 
WRITE,-5.0,,104605197,726.424979 
WRITE,-5.0,,104893179,728.424854 
WRITE,-4.0,,105181160,730.424722 
WRITE,-4.0,,105469142,732.424597 
WRITE,-4.0,,105757123,734.424465 
WRITE,-3.0,,106045105,736.424340 
WRITE,-3.0,,106333086,738.424208 
WRITE,-3.0,,106621067,740.424076 
WRITE,-3.0,,106909049,742.423951 
WRITE,-2.0,,107197030,744.423819 
WRITE,-2.0,,107485012,746.423694 
WRITE,-2.0,,107772993,748.423563 
WRITE,-1.0,,108060975,750.423438 
WRITE,-1.0,,108348956,752.423306 
WRITE,-1.0,,108636937,754.423174 
WRITE,-1.0,,108924919,756.423049 
WRITE,-1.0,,109212900,758.422917 
WRITE,0.0,,109500882,760.422792 
WRITE,0.0,,109788863,762.422660 
WRITE,0.0,,110076845,764.422535 
WRITE,0.0,,110364826,766.422403 
WRITE,0.0,,110652807,768.422271 
WRITE,0.0,,110940789,770.422146 
WRITE,0.0,,111228770,772.422014 
WRITE,0.0,,111516752,774.421889 
WRITE,0.0,,111804733,776.421757 
WRITE,0.0,,112092714,778.421625 
WRITE,0.0,,112380696,780.421500 
WRITE,0.0,,112668677,782.421368 
WRITE,0.0,,112956659,784.421243 
WRITE,0.0,,113244640,786.421111 
WRITE,0.0,,113532622,788.420986 
WRITE,0.0,,113820603,790.420854 
WRITE,0.0,,114108584,792.420722 
WRITE,0.0,,114396566,794.420597 
WRITE,0.0,,114684547,796.420465 
WRITE,0.0,,114972529,798.420340 
WRITE,0.0,,115260510,800.420208 
WRITE,0.0,,115548492,802.420083 
WRITE,0.0,,115836473,804.419951 
WRITE,0.0,,116124454,806.419819 
WRITE,0.0,,116412436,808.419694 
WRITE,0.0,,116700417,810.419563 
WRITE,0.0,,116988399,812.419438 
WRITE,0.0,,117276380,814.419306 
WRITE,0.0,,117564361,816.419174 
WRITE,0.0,,117852343,818.419049 
WRITE,0.0,,118140324,820.418917 
WRITE,0.0,,118428306,822.418792 
WRITE,0.0,,118716287,824.418660 
WRITE,0.0,,119004269,826.418535 
WRITE,0.0,,119292250,828.418403 
WRITE,0.0,,119580231,830.418271 
WRITE,0.0,,119868213,832.418146 
WRITE,0.0,,120156194,834.418014 
WRITE,0.0,,120444176,836.417889 
WRITE,0.0,,120732157,838.417757 
WRITE,0.0,,121020139,840.417632 
WRITE,0.0,,121308120,842.417500 
WRITE,0.0,,121596101,844.417368 
WRITE,0.0,,121884083,846.417243 
WRITE,0.0,,122172064,848.417111 
WRITE,0.0,,122460046,850.416986 
WRITE,0.0,,122748027,852.416854 
WRITE,0.0,,123036008,854.416722 
WRITE,0.0,,123323990,856.416597 
WRITE,0.0,,123611971,858.416465 
WRITE,0.0,,123899953,860.416340 
WRITE,0.0,,124187934,862.416208 
WRITE,0.0,,124475916,864.416083 
WRITE,0.0,,124763897,866.415951 
WRITE,0.0,,125051878,868.415819 
WRITE,0.0,,125339860,870.415694 
WRITE,0.0,,125627841,872.415563 
WRITE,0.0,,125915823,874.415437 
WRITE,0.0,,126203804,876.415306 
WRITE,0.0,,126491786,878.415181 
WRITE,0.0,,126779767,880.415049 
WRITE,0.0,,127067748,882.414917 
WRITE,0.0,,127355730,884.414792 
WRITE,0.0,,127643711,886.414660 
WRITE,0.0,,127931693,888.414535 
WRITE,0.0,,128219674,890.414403 
WRITE,0.0,,128507656,892.414278 
WRITE,0.0,,128795637,894.414146 
WRITE,0.0,,129083618,896.414014 
WRITE,0.0,,129371600,898.413889 
WRITE,0.0,,129659581,900.413757 
WRITE,0.0,,129947563,902.413632 
WRITE,0.0,,130235544,904.413500 
WRITE,0.0,,130523525,906.413368 
WRITE,0.0,,130811507,908.413243 
WRITE,0.0,,131099488,910.413111 
WRITE,0.0,,131387470,912.412986 
WRITE,0.0,,131675451,914.412854 
WRITE,0.0,,131963433,916.412729 
WRITE,0.0,,132251414,918.412597 
WRITE,0.0,,132539395,920.412465 
WRITE,0.0,,132827377,922.412340 
WRITE,0.0,,133115358,924.412208 
WRITE,0.0,,133403340,926.412083 
WRITE,0.0,,133691321,928.411951 
WRITE,0.0,,133979303,930.411826 
WRITE,0.0,,134267284,932.411694 
WRITE,0.0,,134555265,934.411563 
WRITE,0.0,,134843247,936.411438 
WRITE,0.0,,135131228,938.411306 
WRITE,0.0,,135419210,940.411181 
WRITE,0.0,,135707191,942.411049 
WRITE,0.0,,135995172,944.410917 
WRITE,0.0,,136283154,946.410792 
WRITE,0.0,,136571135,948.410660 
WRITE,0.0,,136859117,950.410535 
WRITE,0.0,,137147098,952.410403 
WRITE,0.0,,137435080,954.410278 
WRITE,0.0,,137723061,956.410146 
WRITE,0.0,,138011042,958.410014 
WRITE,0.0,,138299024,960.409889 
WRITE,0.0,,138587005,962.409757 
WRITE,0.0,,138874987,964.409632 
WRITE,0.0,,139162968,966.409500 
WRITE,0.0,,139450950,968.409375 
WRITE,0.0,,139738931,970.409243 
WRITE,0.0,,140026912,972.409111 
WRITE,0.0,,140314894,974.408986 
WRITE,0.0,,140602875,976.408854 
WRITE,0.0,,140890857,978.408729 
WRITE,0.0,,141178838,980.408597 
WRITE,0.0,,141466819,982.408465 
WRITE,0.0,,141754801,984.408340 
WRITE,0.0,,142042782,986.408208 
WRITE,0.0,,142330764,988.408083 
WRITE,0.0,,142618745,990.407951 
WRITE,0.0,,142906727,992.407826 
WRITE,0.0,,143194708,994.407694 
WRITE,0.0,,143482689,996.407562 
WRITE,0.0,,143770671,998.407438 
WRITE,0.0,,144061275,1.000426
WRITE,0.0,,144346631,1.002407
WRITE,0.0,,144634612,1.004407
WRITE,0.0,,144922594,1.006407
WRITE,0.0,,145210575,1.008407
WRITE,0.0,,145498556,1.010407
WRITE,0.0,,145786538,1.012407
WRITE,1.0,,146074519,1.014406
WRITE,2.0,,146362501,1.016406
WRITE,3.0,,146650482,1.018406
WRITE,5.0,,146938464,1.020406
WRITE,7.0,,147226445,1.022406
WRITE,8.0,,147514426,1.024406
WRITE,10.0,,147802408,1.026406
WRITE,12.0,,148090389,1.028405
WRITE,14.0,,148378371,1.030405
WRITE,16.0,,148666352,1.032405
WRITE,19.0,,148954333,1.034405
WRITE,21.0,,149242315,1.036405
WRITE,23.0,,149530296,1.038405
WRITE,25.0,,149818278,1.040405
WRITE,27.0,,150106259,1.042405
WRITE,29.0,,150394241,1.044404
WRITE,32.0,,150682222,1.046404
WRITE,34.0,,150970203,1.048404
WRITE,36.0,,151258185,1.050404
WRITE,38.0,,151546166,1.052404
WRITE,40.0,,151834148,1.054404
WRITE,42.0,,152122129,1.056404
WRITE,43.0,,152410111,1.058404
WRITE,45.0,,152698092,1.060403
WRITE,47.0,,152986073,1.062403
WRITE,48.0,,153274055,1.064403
WRITE,50.0,,153562036,1.066403
WRITE,51.0,,153850018,1.068403
WRITE,53.0,,154137999,1.070403
WRITE,54.0,,154425980,1.072403
WRITE,55.0,,154713962,1.074403
WRITE,56.0,,155001943,1.076402
WRITE,58.0,,155289925,1.078402
WRITE,59.0,,155577906,1.080402
WRITE,60.0,,155865888,1.082402
WRITE,61.0,,156153869,1.084402
WRITE,62.0,,156441850,1.086402
WRITE,63.0,,156729832,1.088402
WRITE,64.0,,157017813,1.090401
WRITE,65.0,,157305795,1.092401
