WRITE,-866.0,,59381498,412.371514 ms
WRITE,-868.0,,59669479,414.371382 ms
WRITE,-870.0,,59957461,416.371257 ms
WRITE,-872.0,,60245442,418.371125 ms
WRITE,-875.0,,60533424,420.371000 ms
WRITE,-877.0,,60821405,422.370868 ms
WRITE,-879.0,,61109386,424.370736 ms
WRITE,-881.0,,61397368,426.370611 ms
WRITE,-882.0,,61685349,428.370479 ms
WRITE,-884.0,,61973331,430.370354 ms
WRITE,-886.0,,62261312,432.370222 ms
WRITE,-888.0,,62549294,434.370097 ms
WRITE,-890.0,,62837275,436.369965 ms
WRITE,-891.0,,63125256,438.369833 ms
WRITE,-893.0,,63413238,440.369708 ms
WRITE,-894.0,,63701219,442.369576 ms
WRITE,-895.0,,63989201,444.369451 ms
WRITE,-897.0,,64277182,446.369319 ms
WRITE,-898.0,,64565164,448.369194 ms
WRITE,-899.0,,64853145,450.369063 ms
WRITE,-900.0,,65141126,452.368931 ms
WRITE,-901.0,,65429108,454.368806 ms
WRITE,-902.0,,65717089,456.368674 ms
WRITE,-903.0,,66005071,458.368549 ms
WRITE,-904.0,,66293052,460.368417 ms
WRITE,-905.0,,66581033,462.368285 ms
WRITE,-906.0,,66869015,464.368160 ms
WRITE,-907.0,,67156996,466.368028 ms
WRITE,-908.0,,67444978,468.367903 ms
WRITE,-909.0,,67732959,470.367771 ms
WRITE,-910.0,,68020941,472.367646 ms
WRITE,-911.0,,68308922,474.367514 ms
WRITE,-911.0,,68596903,476.367382 ms
WRITE,-912.0,,68884885,478.367257 ms
WRITE,-913.0,,69172866,480.367125 ms
WRITE,-913.0,,69460848,482.367000 ms
WRITE,-914.0,,69748829,484.366868 ms
WRITE,-915.0,,70036811,486.366743 ms
WRITE,-915.0,,70324792,488.366611 ms
WRITE,-916.0,,70612773,490.366479 ms
WRITE,-917.0,,70900755,492.366354 ms
WRITE,-918.0,,71188736,494.366222 ms
WRITE,-918.0,,71476718,496.366097 ms
WRITE,-919.0,,71764699,498.365965 ms
WRITE,-919.0,,72055185,500.383229 ms
WRITE,-920.0,,72340660,502.365694 ms
WRITE,-920.0,,72628641,504.365562 ms
WRITE,-921.0,,72916623,506.365438 ms
WRITE,-921.0,,73204604,508.365306 ms
WRITE,-921.0,,73492586,510.365181 ms
WRITE,-921.0,,73780567,512.365049 ms
WRITE,-921.0,,74068548,514.364917 ms
WRITE,-920.0,,74356530,516.364792 ms
WRITE,-919.0,,74644511,518.364660 ms
WRITE,-917.0,,74932493,520.364535 ms
WRITE,-916.0,,75220474,522.364403 ms
WRITE,-915.0,,75508456,524.364278 ms
WRITE,-913.0,,75796437,526.364146 ms
WRITE,-911.0,,76084418,528.364014 ms
WRITE,-909.0,,76372400,530.363889 ms
WRITE,-907.0,,76660381,532.363757 ms
WRITE,-906.0,,76948363,534.363632 ms
WRITE,-904.0,,77236344,536.363500 ms
WRITE,-902.0,,77524325,538.363368 ms
WRITE,-900.0,,77812307,540.363243 ms
